Date,Precipitation
2025-07-13,0.0
2025-07-14,0.0
2025-07-15,13.5
2025-07-16,6.0
2025-07-17,2.5
2025-07-18,12.0
2025-07-19,25.0
2025-07-20,4.5
2025-07-21,1.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,57.0
2025-07-26,6.5
2025-07-27,0.5
2025-07-28,82.0
2025-07-29,73.0
2025-07-30,1.5
2025-07-31,20.5
2025-08-01,30.0
2025-08-02,56.5
2025-08-03,17.0
2025-08-04,39.5
2025-08-05,T
2025-08-06,T
2025-08-07,0.0
2025-08-08,0.0
2025-08-09,0.0
2025-08-10,T
2025-08-11,2.5
2025-08-12,0.5
2025-08-13,122.0
2025-08-14,42.5
2025-08-15,0.0
2025-08-16,0.0
2025-08-17,T
2025-08-18,4.0
2025-08-19,T
2025-08-20,0.0
2025-08-21,0.0
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,T
2025-08-25,0.0
2025-08-26,41.5
2025-08-27,0.5
2025-08-28,0.0
2025-08-29,0.0
2025-08-30,T
2025-08-31,T
2025-09-01,0.0
2025-09-02,0.0
2025-09-03,0.0
2025-09-04,0.0
2025-09-05,0.0
2025-09-06,0.0
2025-09-07,0.0
2025-09-08,T
2025-09-09,0.0
2025-09-10,8.0
2025-09-11,0.0
2025-09-12,0.5
2025-09-13,0.0
2025-09-14,T
2025-09-15,0.0
2025-09-16,0.0
2025-09-17,T
2025-09-18,2.0
2025-09-19,T
2025-09-20,2.5
2025-09-21,8.5
2025-09-22,0.5
2025-09-23,51.0
2025-09-24,20.5
2025-09-25,0.0
2025-09-26,0.0
2025-09-27,0.0
2025-09-28,0.0
2025-09-29,T
2025-09-30,T
2025-10-01,T
2025-10-02,0.0
2025-10-03,0.0
2025-10-04,0.0
2025-10-05,0.0
2025-10-06,0.0
2025-10-07,0.0
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,0.0
2025-10-11,0.0
2025-10-12,0.0
2025-10-13,0.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-18,0.0
2025-10-19,T
2025-10-20,0.5
2025-10-21,0.0
2025-10-22,0.0
2025-10-23,0.0
2025-10-24,0.0
2025-10-25,0.0
2025-10-26,0.0
2025-10-27,0.0
2025-10-28,0.0
2025-10-29,T
2025-10-30,0.0
2025-10-31,0.0
2025-11-01,0.0
2025-11-02,0.0
2025-11-03,0.0
2025-11-04,0.0
2025-11-05,0.0
2025-11-06,0.0
2025-11-07,0.0
2025-11-08,0.0
2025-11-09,0.0
2025-11-10,2.5
2025-11-11,4.0
2025-11-12,10.5
2025-11-13,T
2025-11-14,0.0
2025-11-15,0.0
2025-11-16,0.0
2025-11-17,0.0
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,0.0
2025-11-22,0.0
2025-11-23,0.0
2025-11-24,0.0
2025-11-25,0.0
2025-11-26,0.0
2025-11-27,T
2025-11-28,T
2025-11-29,0.0
2025-11-30,0.0
2025-12-01,0.0
2025-12-02,0.0
